year_week,activity_type,total_steps
2025-13,Basketball,5523
2025-13,Biking,31463
2025-13,Running,57111
2025-13,Walking,41111
2025-14,Basketball,12305
2025-14,Biking,26286
2025-14,Running,23272.49
2025-14,Walking,43908
2025-15,Basketball,7362
2025-15,Biking,61656
2025-15,Running,76723
2025-15,Walking,35883
2025-16,Basketball,2959
2025-16,Biking,22933
2025-16,Running,75052
2025-16,Walking,47352
2025-17,Biking,27878
2025-17,Running,132017
2025-17,Walking,110310
2025-18,Basketball,14440
2025-18,Biking,78854
2025-18,Running,94663
2025-18,Walking,47555
2025-19,Basketball,24806
2025-19,Biking,46994
2025-19,Running,69815
2025-19,Walking,71404
2025-20,Basketball,10987
2025-20,Biking,84867
2025-20,Running,44343
2025-20,Walking,35996
2025-21,Biking,589
2025-21,Running,396
